,movieId,title,genres
0,1,Toy Story (1995), Adventure|animation|CHILDREN|comedy|Fantasy 
1,2,Jumanji (1995), Adventure|children|FANTASY 
2,3,Grumpier Old Men (1995), Comedy|romance 
3,4,Waiting to Exhale (1995), Comedy|drama|ROMANCE 
4,6,Heat (1995), Action|crime|THRILLER 
5,7,Sabrina (1995), Comedy|romance 
6,8,Tom and Huck (1995), Adventure|children 
7,10,GoldenEye (1995), Action|adventure|THRILLER 
8,11,"American President, The (1995)", Comedy|drama|ROMANCE 
9,12,Dracula: Dead and Loving It (1995), Comedy|horror 
10,13,Balto (1995), Adventure|animation|CHILDREN 
11,15,Cutthroat Island (1995), Action|adventure|ROMANCE 
12,16,Casino (1995), Crime|drama 
13,17,Sense and Sensibility (1995), Drama|romance 
14,20,Money Train (1995), Action|comedy|CRIME|drama|Thriller 
15,21,Get Shorty (1995), Comedy|crime|THRILLER 
16,22,Copycat (1995), Crime|drama|HORROR|mystery|Thriller 
17,23,Assassins (1995), Action|crime|THRILLER 
18,24,Powder (1995), Drama|sci-fi 
19,25,Leaving Las Vegas (1995), Drama|romance 
20,27,Now and Then (1995), Children|drama 
21,28,Persuasion (1995), Drama|romance 
22,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)", Adventure|drama|FANTASY|mystery|Sci-Fi 
23,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995), Crime|drama 
24,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995), Mystery|sci-fi|THRILLER 
25,33,Wings of Courage (1995), Adventure|romance|IMAX 
26,34,Babe (1995), Children|drama 
27,35,Carrington (1995), Drama|romance 
28,36,Dead Man Walking (1995), Crime|drama 
29,37,Across the Sea of Time (1995), Documentary|imax 
30,38,It Takes Two (1995), Children|comedy 
31,39,Clueless (1995), Comedy|romance 
32,41,Richard III (1995), Drama|war 
33,42,Dead Presidents (1995), Action|crime|DRAMA 
34,44,Mortal Kombat (1995), Action|adventure|FANTASY 
35,45,To Die For (1995), Comedy|drama|THRILLER 
36,46,How to Make an American Quilt (1995), Drama|romance 
37,47,Seven (a.k.a. Se7en) (1995), Mystery|thriller 
38,48,Pocahontas (1995), Animation|children|DRAMA|musical|Romance 
39,49,When Night Is Falling (1995), Drama|romance 
40,50,"Usual Suspects, The (1995)", Crime|mystery|THRILLER 
41,51,Guardian Angel (1994), Action|drama|THRILLER 
42,52,Mighty Aphrodite (1995), Comedy|drama|ROMANCE 
43,53,Lamerica (1994), Adventure|drama 
44,54,"Big Green, The (1995)", Children|comedy 
45,56,Kids of the Round Table (1995), Adventure|children|COMEDY|fantasy 
46,58,"Postman, The (Postino, Il) (1994)", Comedy|drama|ROMANCE 
47,59,"Confessional, The (Confessionnal, Le) (1995)", Drama|mystery 
48,60,"Indian in the Cupboard, The (1995)", Adventure|children|FANTASY 
49,61,Eye for an Eye (1996), Drama|thriller 
50,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996), Comedy|crime 
51,64,Two if by Sea (1996), Comedy|romance 
52,66,Lawnmower Man 2: Beyond Cyberspace (1996), Action|sci-fi|THRILLER 
53,68,French Twist (Gazon maudit) (1995), Comedy|romance 
54,70,From Dusk Till Dawn (1996), Action|comedy|HORROR|thriller 
55,72,Kicking and Screaming (1995), Comedy|drama 
56,73,"Misérables, Les (1995)", Drama|war 
57,74,Bed of Roses (1996), Drama|romance 
58,75,Big Bully (1996), Comedy|drama 
59,76,Screamers (1995), Action|sci-fi|THRILLER 
60,77,Nico Icon (1995), Documentary 
61,78,"Crossing Guard, The (1995)", Action|crime|DRAMA|thriller 
62,79,"Juror, The (1996)", Drama|thriller 
63,80,"White Balloon, The (Badkonake sefid) (1995)", Children|drama 
64,81,Things to Do in Denver When You're Dead (1995), Crime|drama|ROMANCE 
65,82,Antonia's Line (Antonia) (1995), Comedy|drama 
